,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20,19-Jun-20,20-Jun-20,21-Jun-20,22-Jun-20,23-Jun-20,24-Jun-20,25-Jun-20,26-Jun-20,27-Jun-20,28-Jun-20,29-Jun-20,30-Jun-20,01-Jul-20,02-Jul-20,03-Jul-20,04-Jul-20,05-Jul-20,06-Jul-20,07-Jul-20,08-Jul-20,09-Jul-20,10-Jul-20,11-Jul-20,12-Jul-20,13-Jul-20,14-Jul-20,15-Jul-20,16-Jul-20,17-Jul-20,18-Jul-20,19-Jul-20
ANDAMAN AND NICOBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,1,0,4,3,0,0,2,1,3,2,2,3,2,2,0,0,0,0,0,2,0,0,0,1,2,2,3,3,1,0,1,1,1,0,1,1,0,2,1,1,1,1,0,0,1,1,1,1,0,2,2,0,4,3,2,0,2,0,2,1,2,0,2,2,2,2,2,2,4,5,5,5,8,10,7,10,11,12,11,7,6,5,8,12,14,7,13,12,13,15,17,19,37,43,44,40,42,52,56
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ASSAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,6,5,8,2,4,4,6,2,2,1,2,4
BIHAR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,2,1,1,0,0,6,2,0,1,1,3,1,0,1,1,2,1,0,1,0,1,2,1,0,5,5,0,2,1,2,1,1,0,2,4,1,5,5,5,6,4,2,7,1,2,9,2,7,7,9,9,14,10,6,4,2
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0
CHATTISGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,3,0,0
DAMAN AND DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,2,0,3,2,5,5,4,2,2,6,4,1,2,2,0,1,2,3,1,0,0,0,2,3,2,3,0,0,0,1,1,2,0,5,0,13,20,9,8,6,19,12,6,10,18,14,23,30,15,12,15,13,82,18,57,50,33,59,44,49,53,51,62,31,79,101,129,57,56,73,437,67,65,66,77,63,58,68,64,64,63,66,65,57,62,61,61,59,81,63,48,50,48,45,42,34,37,40,35,41,58,26,26,31
DADRA AND NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,0,3,2,3,1,0,1,2,0,1
GUJRAT,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,1,2,1,1,1,2,2,2,1,3,2,2,2,5,3,5,12,10,8,19,13,9,15,6,18,11,19,16,17,22,26,28,29,49,28,29,24,23,21,20,24,29,20,20,19,34,35,25,30,24,29,27,29,30,27,23,22,20,27,31,25,29,30,33,35,29,30,31,33,34,38,31,33,29,28,28,27,31,27,20,25,21,26,25,18,18,18,19,19,20,21,19,18,21,18,17,17,16,15,14,10,13,10,14,10,10,17,19,20
HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARAYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1,2,0,1,0,0,4,11,6,7,12,6,8,10,12,18,12,4,10,5,11,9,9,10,10,13,7,5,9,4,4,11,4,5,5,11,3,3,5,3,7,4,7,4,7,3,5,17,5
JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,1,2,0,1,0,1,7,2,3,2,4,4,2,1
JAMMU AND KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,2,2,1,2,0,1,0,2,1,2,1,1,0,0,3,2,1,1,1,3,2,4,3,3,1,1,2,4,3,1,1,7,4,6,1,3,2,1,2,1,2,1,1,6,4,10,4,8,5,6,5,6,5,5,10,10,8,8,11,16,9,5,8
KARNATAKA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,2,1,0,1,2,0,1,0,0,1,0,1,1,0,1,1,0,3,0,2,2,0,1,0,0,1,0,0,2,2,1,0,1,0,3,1,0,0,1,0,2,0,3,0,1,1,2,1,0,1,4,0,2,2,3,2,3,3,7,3,5,2,7,8,12,9,9,5,5,8,14,6,10,11,16,19,20,7,19,21,42,37,30,15,54,17,57,70,71,73,87,87,104,115,93,91
KERALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,3,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,2,2,2,1,1,2,1,2,2
LADAKH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,2,1,3,8,5,6,13,7,12,8,25,12,17,22,11,18,9,7,7,10,12,9,19,18,14,18,22,19,27,31,32,27,26,36,27,35,34,34,43,37,48,53,36,53,54,44,49,67,63,51,76,65,64,63,60,58,60,97,105,85,116,99,89,76,103,122,123,139,120,91,109,120,149,152,127,113,120,178,1409,114,100,142,91,186,113,248,208,192,175,167,156,181,245,198,125,198,295,151,204,224,198,219,226,223,173,193,213,233,266,258,144,258
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,2,0,3,2,2,6,3,9,4,4,3,7,3,0,2,14,0,3,4,4,0,3,9,7,4,7,10,10,7,8,6,5,9,11,9,8,7,11,4,6,4,7,5,2,4,5,4,6,9,4,1,9,9,10,5,8,8,13,9,7,8,6,7,6,7,15,13,2,6,7,4,9,7,12,6,11,6,4,9,6,14,6,4,9,8,4,4,7,7,8,9,8,4,5,10,9,5,7,5,4,6,9,10,10,9,7,9,8,15
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORISSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,4,2,3,0,0,0,1,3,2,2,1,2,2,6,3,2,6,7,6,6,6,5,7,5,5,2,6,3,7
PUNJAB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,2,2,2,1,1,2,0,0,1,0,0,0,0,3,2,1,0,1,0,0,1,0,0,0,0,2,2,1,-1,2,1,0,1,2,1,2,2,0,4,4,2,2,4,1,6,5,9,6,1,2,4,8,7,2,6,5,5,6,5,3,5,5,2,5,6,3,5,4,8,4,5,9,8,9,9,7,8
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,3,1,3,3,0
RAJASTHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,2,0,0,0,0,6,4,2,2,1,1,1,4,2,7,9,2,3,3,4,6,3,6,12,4,6,4,3,2,5,4,4,4,0,1,5,7,5,4,4,2,7,3,4,3,3,7,4,9,1,5,4,6,4,5,13,9,6,9,4,6,7,10,10,9,7,5,17,3,4,12,7,9,10,4,1,11,8,6,8,8,9,10,7,9,5,11,10,9,6,6,7,8,6,6,8,8,7,6
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TELENGANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,2,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,4,2,5,3,1,4,3,1,6,4,4,6,5,6,4,7,6,8,10,14,5,6,8,9,9,8,3,2,4,1,3,3,5,7,7,3,5,5,7,6,4,6,7,7,8,8,5,7,11,7,11,7,8,9,8,9,10,11,10,7,6,6
TAMILNADU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,1,1,1,0,1,2,1,0,0,0,2,1,0,2,2,1,1,0,1,2,0,1,1,1,1,2,2,2,3,4,3,6,8,3,2,5,4,4,3,3,3,7,4,5,8,7,11,6,12,9,6,13,11,13,8,15,12,19,18,17,18,19,23,18,30,38,44,49,48,49,41,38,53,37,39,33,45,46,68,54,62,60,63,57,64,65,60,61,65,64,65,64,69,68,66,67,68,69,79,88,78
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0
INDIA,2,0,0,1,0,1,0,0,3,2,1,1,5,3,5,3,13,6,9,14,14,13,22,16,27,20,46,22,40,42,27,37,27,26,38,35,38,33,53,36,40,59,44,56,58,69,71,75,77,92,140,103,128,91,104,97,115,112,81,120,137,97,104,120,152,131,146,134,148,142,142,156,150,173,188,176,269,205,222,201,222,259,274,286,297,261,271,272,358,394,388,309,324,396,2004,341,343,364,308,426,312,468,424,401,381,414,384,417,506,438,378,444,611,421,473,479,492,479,520,543,500,541,587,614,680,676,543,675
UNKNOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,3,3,2,1,0,3,1,3,0,3,1,2,3,1,3,5,1,2,1,0,7,6,4,2,4,8,5,1,2,4,2,7,9,8,6,5,4,11,14,3,6,8,8,5,15,4,12,4,5,7,1,15,12,11,7,8,18,20,24,20,20,14,18,18,30,23,19,22,21,19,19,8,15,19,19,11,12,25,21,17,14,24,12,24,18,18,17,27,24,21,21,28,29,34,38,24,38
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,1,2,1,0,2,0,0,2,1,5,2,1,0,1,1,0,0,1,0,1,2,5,1,1,0,1,1,2,0,1,0,0,0,0,1,3,0,0,0,1,2,1,0,0,1,1,0
WEST BENGAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,2,0,0,3,0,0,3,0,2,0,2,0,11,8,7,74,11,7,4,7,9,11,14,5,8,9,8,10,7,6,6,6,3,6,6,4,3,6,5,6,6,7,7,8,8,10,10,10,11,17,13,9,10,17,10,9,12,12,10,10,11,12,11,11,15,14,11,11,15,10,13,10,14,15,15,16,18,19,21,22,25,23,27,26,26,26,24,24,20,23,26,27,36
